"Name","State","Notes","User","Tags","Created","Runtime","dataset_split","dataset_folder","rqvae_uid","uid","use_image_features","log_dir","pretrained_rqvae_path","log_every","accelerator","amp","attn_embed_dim","attn_heads","attn_layers","batch_size","category","dataset","debug","decoder_embed_dim","device","dropout_p","eval_every","force_dataset_process","full_eval_every","gradient_accumulate_every","iterations","learning_rate","mixed_precision_type","model_jagged_mode","partial_eval_every","save_model_every","split_batches","train_data_subsample","vae_codebook_normalize","vae_codebook_size","vae_embed_dim","vae_hidden_dims","vae_input_dim","vae_n_cat_feats","vae_n_layers","vae_sim_vq","wandb_logging","weight_decay","enable_fairness","use_tiger_fairness","pretrained_decoder_path","feature_combination_mode","run_prefix","prefix_matching","rope","eval/loss","eval/loss_0","eval/loss_1","eval/loss_2","eval/loss_3","eval/seq_length_p0.25","eval/seq_length_p0.5","eval/seq_length_p0.75","eval/seq_length_p0.9","eval/seq_length_p1","gini@1","gini@10","gini@5","h@1","h@10","h@10_pos_0","h@10_pos_1","h@10_pos_2","h@10_pos_3","h@10_slice_:1","h@10_slice_:2","h@10_slice_:3","h@10_slice_:4","h@1_pos_0","h@1_pos_1","h@1_pos_2","h@1_pos_3","h@1_slice_:1","h@1_slice_:2","h@1_slice_:3","h@1_slice_:4","h@5","h@5_pos_0","h@5_pos_1","h@5_pos_2","h@5_pos_3","h@5_slice_:1","h@5_slice_:2","h@5_slice_:3","h@5_slice_:4","metrics/gini@1","metrics/gini@10","metrics/gini@5","metrics/h@1","metrics/h@10","metrics/h@10_pos_0","metrics/h@10_pos_1","metrics/h@10_pos_2","metrics/h@10_pos_3","metrics/h@10_slice_:1","metrics/h@10_slice_:2","metrics/h@10_slice_:3","metrics/h@10_slice_:4","metrics/h@1_pos_0","metrics/h@1_pos_1","metrics/h@1_pos_2","metrics/h@1_pos_3","metrics/h@1_slice_:1","metrics/h@1_slice_:2","metrics/h@1_slice_:3","metrics/h@1_slice_:4","metrics/h@5","metrics/h@5_pos_0","metrics/h@5_pos_1","metrics/h@5_pos_2","metrics/h@5_pos_3","metrics/h@5_slice_:1","metrics/h@5_slice_:2","metrics/h@5_slice_:3","metrics/h@5_slice_:4","metrics/ndcg@1","metrics/ndcg@10","metrics/ndcg@5","metrics/recall@1","metrics/recall@10","metrics/recall@5","ndcg@1","ndcg@10","ndcg@5","recall@1","recall@10","recall@5","train/learning_rate","train/loss_0","train/loss_1","train/loss_2","train/loss_3","train/seq_length_p0.25","train/seq_length_p0.5","train/seq_length_p0.75","train/seq_length_p0.9","train/seq_length_p1","train/total_loss"
"clip-sum-v2-decoder-amazon-sports/1749950218/1750312346","finished","-","","amazon, clip-sum, sports","2025-06-19T05:52:27.000Z","19701","sports","dataset/amazon","1749950218","1750312346","true","/home/scur2745/logdir/decoder/amazon/sports/1750312346","/home/scur2745/logdir/rqvae/amazon/sports/1749950218/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x148ff17f1130>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","20000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","sum","clip-sum-v2","false","false","16.530424288340978","6.166028349740165","5.512591188294547","3.120902722222465","1.7309020136083877","16.02857142857143","21.32857142857143","31.735714285714284","49.397142846243725","79.71428571428571","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.23166358329383113","0.12588066745325102","0.00879262879937075","0.029046575650317433","0.26931288274622167","0.25144671048935335","0.25723355244676666","0.7629642114725547","0.26931288274622167","0.11225349738749368","0.06095848081352885","0.029046575650317433","0.10891061295578404","0.08340356199786506","0.055171638856115514","0.45626158772964776","0.10891061295578404","0.0471093881678746","0.02137760548345413","0.00879262879937075","0.021405696949266813","0.20919714590707345","0.18287544244058657","0.16675094106410474","0.7009382549581438","0.20919714590707345","0.0895555930108433","0.04632282712511939","0.021405696949266813","0.00879262879937075","0.01778967305065819","0.015344481423448228","0.00879262879937075","0.029046575650317433","0.021405696949266813","","","","","","","0.00006708187162052427","0.47576940059661865","0.2455092966556549","0.16938352584838867","0.08264113962650299","8","12","16","26","68","0.9733033776283264"
"clip-sum-v2-decoder-amazon-toys/1749950278/1750312203","finished","-","","amazon, clip-sum, toys","2025-06-19T05:50:04.000Z","16689","toys","dataset/amazon","1749950278","1750312203","true","/home/scur2745/logdir/decoder/amazon/toys/1750312203","/home/scur2745/logdir/rqvae/amazon/toys/1749950278/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x15039b9e9190>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","20000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","sum","clip-sum-v2","false","false","19.72550675743505","7.118180990219116","6.445048426326952","3.889606654644013","2.272670700361854","16","20.657894736842103","31.092105263157897","51.89473684210526","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.22655684668950385","0.12642695240059745","0.01241500103029054","0.03884195343086751","0.3222748815165877","0.30434782608695654","0.27519060375025756","0.7571090047393365","0.3222748815165877","0.1161137440758294","0.06119925819080981","0.03884195343086751","0.1450133937770451","0.0906655676900886","0.054605398722439726","0.4826396043684319","0.1450133937770451","0.0420873686379559","0.018030084483824437","0.01241500103029054","0.02869359159282918","0.2570059756851432","0.2163610138058933","0.173603956315681","0.6967854935091696","0.2570059756851432","0.08793529775396662","0.04368431897795178","0.02869359159282918","0.01241500103029054","0.024151545269848175","0.020872795434364436","0.01241500103029054","0.03884195343086751","0.02869359159282918","","","","","","","0.00006708187162052427","0.1372394561767578","0.08202952891588211","0.042216695845127106","0.05765283107757568","8","12","17","28","76","0.3191384971141815"
"clip-sum-v2-decoder-amazon-beauty/1749948820/1750296496","finished","using img. features for SeqData","","amazon, beauty, clip-sum","2025-06-19T01:28:17.000Z","17070","beauty","dataset/amazon","1749948820","1750296496","true","/home/scur2745/logdir/decoder/amazon/beauty/1750296496","/home/scur2745/logdir/rqvae/amazon/beauty/1749948820/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14f94b573130>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","20000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","sum","clip-sum-v2","false","false","17.601007396524604","6.873767982829701","5.740095734596252","2.806108780882575","2.1810350567102432","16.09090909090909","21.522727272727273","32.40909090909091","53.47727272727273","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.2004838207100945","0.11083486115460552","0.01609801904932254","0.056343066672628894","0.3171756919912355","0.27733309484416224","0.30827706479452666","0.724366140499933","0.3171756919912355","0.1262352993784376","0.08862853821043688","0.056343066672628894","0.15074006170907303","0.07999821133121675","0.09989715154496266","0.4352278316862675","0.15074006170907303","0.04556633725349908","0.03259848857487815","0.01609801904932254","0.03993203058623619","0.2568975539954389","0.19849751822206324","0.22640075124088896","0.6587219961543621","0.2568975539954389","0.09448642847560702","0.06671734561552564","0.03993203058623619","0.01609801904932254","0.03358663117480759","0.028337010408828363","0.01609801904932254","0.056343066672628894","0.03993203058623619","","","","","","","0.00006708187162052427","0.13413511216640472","0.09238405525684357","0.07852108776569366","0.05898049473762512","8","12","16","24","48","0.3640207350254059"
"decoder-amazon-sports/1749670527/1750188998","finished","40k rqvae","","amazon, sports","2025-06-17T19:36:39.000Z","16679","sports","dataset/amazon","1749670527","1750188998","false","/home/scur2745/logdir/decoder/amazon/sports/1750188998","/home/scur2745/logdir/rqvae/amazon/sports/1749670527/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x14eb31262250>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","20000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","sum","clip-sum","","","16.903466483524866","7.637266526903425","5.313699569020953","2.5489883065223693","1.4035120972565245","16.007142857142856","21.32857142857143","31.85","49.705714280264715","79.88571428571429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.1829558709825608","0.09577785268838264","0.0028372380470812965","0.009129726389122983","0.10646665543008034","0.18588122928254397","0.2268947693690657","0.8128827462216979","0.10646665543008034","0.02778245968874656","0.017304342940614642","0.009129726389122983","0.027894825551997304","0.032754649137592","0.03955278386426204","0.5104500252823192","0.027894825551997304","0.0064610371369178046","0.004382268666779033","0.0028372380470812965","0.006067756615540199","0.07267262205741895","0.112225405921681","0.14076633518737008","0.7580201134895219","0.07267262205741895","0.018006629585931792","0.011208494859261757","0.006067756615540199","0.0028372380470812965","0.005485678190509479","0.004493921856740586","0.0028372380470812965","0.009129726389122983","0.006067756615540199","","","","","","","0.00006708187162052427","0.5635400414466858","0.4338458776473999","0.20428875088691711","0.0554274320602417","8","12","16","24","52","1.257102131843567"
"decoder-amazon-toys/1749670347/1749780487","finished","-","","amazon, toys","2025-06-13T02:08:10.000Z","13831","toys","dataset/amazon","","1749780487","","/home/scur2745/logdir/decoder/amazon/toys/1749780487","/home/scur2745/logdir/rqvae/amazon/toys/1749670347/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x1549d53a9190>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","20000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","","","","","19.289448863581608","10.033106439992002","6.532719925830238","1.9168364735026109","0.8067860195511266","16","20.394736842105264","31.394736842105264","51.81578947368421","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.13313193197467596","0.06745569750669884","0.7650422419122193","0.9467339789820728","0.08551411498042448","0.13857407788996498","0.2765814959818669","0.8971254893880074","0.08551411498042448","0.03539048011539254","0.030805687203791468","0.02802390274057284","0.02632392334638368","0.026993612198640014","0.04311765917988873","0.7469091283742015","0.02632392334638368","0.014114980424479704","0.01318771893674016","0.012878631774160314","0.911395013393777","0.05939624974242737","0.08412322274881516","0.16077683906861734","0.8769833092932207","0.05939624974242737","0.027045126725736657","0.02426334226251803","0.02266639192252215","0.012878631774160314","0.019844751200987585","0.018105290314850725","0.012878631774160314","0.02802390274057284","0.02266639192252215","","","","","","","0.00006708187162052427","0.24773985147476196","0.11315184831619264","0.030192190781235695","0.00755453621968627","8","12","16","20","72","0.39863839745521545"
"decoder-amazon-beauty/1749670228/1749779426","finished","-","","amazon, beauty","2025-06-13T01:50:30.000Z","19139","beauty","dataset/amazon","","1749779426","","/home/scur2745/logdir/decoder/amazon/beauty/1749779426","/home/scur2745/logdir/rqvae/amazon/beauty/1749670228/checkpoint_400000.pt","5000","<accelerate.accelerator.Accelerator object at 0x1547ad6f41c0>","false","512","8","8","256","brand","AMAZON","false","128","cuda","0.3","20000","false","","1","200000","0.0003","fp16","true","","40000","true","true","false","256","32","[512,256,128]","768","0","3","false","true","0.035","","","","","","","","18.0110530203039","7.138128762895411","5.298317118124529","3.2514051767912777","2.3232019530101256","16","21.5","32.55681818181818","53.70454545454545","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.15064618853848577","0.08274307263486906","0.4128247551759603","0.9264857130080936","0.16326074319187944","0.2753655591825784","0.3998121897777579","0.7641193042078434","0.16326074319187944","0.05017215937038859","0.032911505611948305","0.027500782542592677","0.04422483566605554","0.0503510262487144","0.07235165228278853","0.31891964405491213","0.04422483566605554","0.013549166033179806","0.01010597862540804","0.00947994455126772","0.8203729374413093","0.11192594911237312","0.17493180700263827","0.25528775209050664","0.6596163305459911","0.11192594911237312","0.03546035862809104","0.024728345928542683","0.02137459195993382","0.00947994455126772","0.01763574023332473","0.0156751549642082","0.00947994455126772","0.027500782542592677","0.02137459195993382","","","","","","","0.00006708187162052427","0.25672855973243713","0.1728421449661255","0.07983794808387756","0.046661775559186935","8","12","16","28","80","0.5560703873634338"
